full_date,asset_code,open_price ,high_price,low_price,close_price,volume,  Turnover_cr  
30-01-2026,NIFTY 50,25247.55,25370.7,25213.65,25320.65,508388604," 40,772.08 "
29-01-2026,NIFTY 50,25345,25458.15,25159.8,25418.9,582389331," 44,306.95 "
28-01-2026,NIFTY 50,25258.85,25372.1,25187.65,25342.75,574903942," 42,364.52 "
27-01-2026,NIFTY 50,25063.35,25246.65,24932.55,25175.4,618696080," 50,989.25 "
23-01-2026,NIFTY 50,25344.6,25347.95,25025.3,25048.65,393944908," 31,844.65 "
22-01-2026,NIFTY 50,25344.15,25435.75,25168.5,25289.9,486395433," 34,583.24 "
21-01-2026,NIFTY 50,25141,25300.95,24919.8,25157.5,395624981," 30,984.61 "
20-01-2026,NIFTY 50,25580.3,25585,25171.35,25232.5,409772324," 31,020.36 "
19-01-2026,NIFTY 50,25653.1,25653.3,25494.35,25585.5,443087953," 33,632.38 "
16-01-2026,NIFTY 50,25696.05,25873.5,25662.4,25694.35,434041776," 37,156.05 "
14-01-2026,NIFTY 50,25648.55,25791.75,25603.95,25665.6,393126596," 28,944.88 "
13-01-2026,NIFTY 50,25897.35,25899.8,25603.3,25732.3,339536336," 31,434.03 "
12-01-2026,NIFTY 50,25669.05,25813.15,25473.4,25790.25,275757268," 23,874.45 "
09-01-2026,NIFTY 50,25840.4,25940.6,25623,25683.3,348757262," 27,486.64 "
08-01-2026,NIFTY 50,26106.5,26133.2,25858.45,25876.85,328520950," 27,556.32 "
07-01-2026,NIFTY 50,26143.1,26187.15,26067.9,26140.75,338216740," 30,232.63 "
06-01-2026,NIFTY 50,26189.7,26273.95,26124.75,26178.7,383040203," 34,567.52 "
05-01-2026,NIFTY 50,26333.7,26373.2,26210.05,26250.3,338777649," 25,742.83 "
02-01-2026,NIFTY 50,26155.1,26340,26118.4,26328.55,357547806," 23,770.13 "
01-01-2026,NIFTY 50,26173.3,26197.55,26113.4,26146.55,425631910," 23,454.66 "
31-12-2025,NIFTY 50,25971.05,26187.95,25969,26129.6,246314941," 20,703.99 "
30-12-2025,NIFTY 50,25940.9,25976.75,25878,25938.85,396893959," 39,492.31 "
29-12-2025,NIFTY 50,26063.35,26106.8,25920.3,25942.1,234312888," 18,184.45 "
26-12-2025,NIFTY 50,26121.25,26144.2,26008.6,26042.3,142243763," 12,263.06 "
24-12-2025,NIFTY 50,26170.65,26236.4,26123,26142.1,188846828," 17,474.44 "
23-12-2025,NIFTY 50,26205.2,26233.55,26119.05,26177.15,216553840," 19,670.50 "
22-12-2025,NIFTY 50,26055.85,26180.7,26047.8,26172.4,252990050," 25,333.26 "
19-12-2025,NIFTY 50,25911.5,25993.35,25880.45,25966.4,382927284," 36,600.58 "
18-12-2025,NIFTY 50,25764.7,25902.35,25726.3,25815.55,197553755," 20,046.07 "
17-12-2025,NIFTY 50,25902.4,25929.15,25770.35,25818.55,206521258," 19,787.57 "
16-12-2025,NIFTY 50,25951.5,25980.75,25834.35,25860.1,264351195," 23,554.69 "
15-12-2025,NIFTY 50,25930.05,26047.15,25904.75,26027.3,181557703," 17,444.03 "
12-12-2025,NIFTY 50,25971.2,26057.6,25938.45,26046.95,216344338," 19,484.07 "
11-12-2025,NIFTY 50,25771.4,25922.8,25693.25,25898.55,206099631," 20,145.19 "
10-12-2025,NIFTY 50,25864.05,25947.65,25734.55,25758,207944446," 21,975.70 "
09-12-2025,NIFTY 50,25867.1,25923.65,25728,25839.65,275978160," 29,894.41 "
08-12-2025,NIFTY 50,26159.8,26178.7,25892.25,25960.55,320729920," 31,677.57 "
05-12-2025,NIFTY 50,25999.8,26202.6,25985.35,26186.45,249254405," 27,491.07 "
04-12-2025,NIFTY 50,25981.85,26098.25,25938.95,26033.75,248099545," 26,377.76 "
03-12-2025,NIFTY 50,26004.9,26066.45,25891,25986,265660108," 25,320.85 "
02-12-2025,NIFTY 50,26087.95,26154.6,25997.85,26032.2,254803113," 26,298.82 "
01-12-2025,NIFTY 50,26325.8,26325.8,26124.2,26175.75,213828573," 21,734.75 "
28-11-2025,NIFTY 50,26237.45,26280.75,26172.4,26202.95,202511545," 20,525.36 "
27-11-2025,NIFTY 50,26261.25,26310.45,26141.9,26215.55,240287057," 25,306.47 "
26-11-2025,NIFTY 50,25842.95,26215.15,25842.95,26205.3,275265169," 31,666.03 "
25-11-2025,NIFTY 50,25998.5,26032.6,25857.5,25884.8,260454909," 25,320.15 "
24-11-2025,NIFTY 50,26122.8,26142.8,25912.15,25959.5,464655063," 44,895.45 "
21-11-2025,NIFTY 50,26109.55,26179.2,26052.2,26068.15,235581427," 24,720.07 "
20-11-2025,NIFTY 50,26132.1,26246.65,26063.2,26192.15,240425729," 25,000.17 "
19-11-2025,NIFTY 50,25918.1,26074.65,25856.2,26052.65,250110008," 24,496.86 "
18-11-2025,NIFTY 50,26021.8,26029.85,25876.5,25910.05,280000989," 26,059.60 "
17-11-2025,NIFTY 50,25948.2,26024.2,25906.35,26013.45,264610565," 23,384.35 "
14-11-2025,NIFTY 50,25767.9,25940.2,25740.8,25910.05,518943416," 33,121.81 "
13-11-2025,NIFTY 50,25906.1,26010.7,25808.4,25879.15,385170023," 30,145.74 "
12-11-2025,NIFTY 50,25834.3,25934.55,25781.15,25875.8,343864299," 30,633.19 "
11-11-2025,NIFTY 50,25617,25715.8,25449.25,25694.95,297714069," 28,285.51 "
10-11-2025,NIFTY 50,25503.5,25653.45,25503.5,25574.35,243592948," 25,023.65 "
07-11-2025,NIFTY 50,25433.8,25551.25,25318.45,25492.3,305606393," 35,487.00 "
06-11-2025,NIFTY 50,25593.35,25679.15,25491.55,25509.7,371852417," 36,129.62 "
04-11-2025,NIFTY 50,25744.75,25787.4,25578.4,25597.65,305143084," 29,307.41 "
03-11-2025,NIFTY 50,25696.85,25803.1,25645.5,25763.35,275858501," 23,949.88 "
31-10-2025,NIFTY 50,25863.8,25953.75,25711.2,25722.1,334384400," 28,788.40 "
